"Street/Name","stationcode","Zipcode","Invited","Turnout","Turnout percentage"
"GRID Grafisch Museum Groningen","101","9712 JN","1396","598",0.42836676217765
"Gemeente Groningen (locatie Kreupelstraat)","102","9712 HW","1311","500",0.3813882532418
"Gemeente Groningen (locatie Kreupelstraat)","103","9712 HW","1311","528",0.402745995423341
"Der Aa-kerk","104","9711 JB","1311","631",0.481311975591152
"Der Aa-kerk","105","9711 JB","1311","639",0.487414187643021
"Der Aa-kerk","106","9711 JB","1311","629",0.479786422578185
"Doopsgezinde Kerk","107","9712 GD","1311","724",0.552250190694127
"Harmoniecomplex (RUG)","108","9712 EK","1311","496",0.378337147215866
"Harmoniecomplex (RUG)","109","9712 EK","1311","482",0.367658276125095
"Gymzaal Violenstraat","111","9712 RH","1311","540",0.411899313501144
"Gymzaal Violenstraat","112","9712 RH","1311","509",0.388253241800153
"Nieuwe Kerk","113","9712 PT","1311","1097",0.83676582761251
"The Student Hotel","114","9712 LH","1311","756",0.576659038901602
"Jeruzalemkerk","131","9711 XB","1311","466",0.355453852021358
"Gymzaal Nieuwe Sint Jansstraat","132","9711 VG","1311","542",0.413424866514111
"GGD Groningen","133","9713 GW","1311","334",0.254767353165523
"Target Lasergame","134","9711 RS","1311","545",0.415713196033562
"Tijdelijk Stadhuis","141","9711 EJ","1311","718",0.547673531655225
"Gemeente Groningen (locatie Zuiderdiep)","142","9711 HL","1311","555",0.423340961098398
"Gemeente Groningen (locatie Zuiderdiep)","143","9711 HL","1311","537",0.409610983981693
"Tent Hoofdstation","151","9726 AE","1311","463",0.353165522501907
"Columnakerk","201","9718 TJ","1311","624",0.475972540045767
"Huis de B","202","9718 RZ","1311","579",0.441647597254005
"Centrum De Poort (locatie Friesestraatweg)","203","9718 NB","1311","693",0.528604118993135
"Tent Aweg","204","9718 BH","1311","895",0.682684973302822
"Tent Aweg","205","9718 BH","1311","745",0.568268497330282
"Noorderpoortcollege (Verlengde Vissersstraat)","206","9718 JB","1311","758",0.578184591914569
"Buurtcentrum Oranjewijk","211","9717 BK","1311","963",0.734553775743707
"Buurtcentrum Oranjewijk","212","9717 BK","1311","816",0.622425629290618
"Centrum De Poort (locatie Moesstraat)","213","9717 JW","1311","877",0.668954996186117
"Christelijk Centrum Groningen","221","9716 CG","1311","590",0.450038138825324
"BSV De Hoogte","222","9716 GZ","1311","600",0.45766590389016
"Het Floreshuis","231","9715 HH","1311","754",0.575133485888635
"Het Floreshuis","232","9715 HH","1311","771",0.588100686498856
"Het Pand voor de Wijk","233","9715 HG","1311","249",0.189931350114416
"Quiet Groningen","241","9715 PA","1311","557",0.424866514111365
"Gymzaal Kapteynlaan","251","9714 CL","1311","563",0.429443173150267
"St. Franciscusschool","252","9714 JS","1311","923",0.704042715484363
"Wiebengacomplex (Hanzehogeschool)","253","9714 CA","1311","559",0.426392067124333
"De Cirkel","254","9714 AB","1311","862",0.657513348588863
"BSV FEO","261","9713 CL","1311","559",0.426392067124333
"BSV Ons Belang","262","9713 LM","1311","479",0.365369946605645
"Leger des Heils","263","9713 GL","1311","916",0.698703279938978
"Sint-Franciscuskerk","271","9713 LG","1311","863",0.658276125095347
"Bie de Buuf","281","9713 BV","1311","557",0.424866514111365
"Bij Van Houten","282","9713 VA","1311","494",0.376811594202899
"Stichting Ik Trakteer","283","9713 TN","1311","482",0.367658276125095
"De Strinke","301","9727 AS","1311","824",0.628527841342487
"Sporthal Hoogkerk","311","9744 AP","1311","728",0.555301296720061
"Sporthal Hoogkerk","312","9744 AP","1311","703",0.536231884057971
"PG Elim Hoogkerk","321","9745 BT","1311","370",0.282227307398932
"PG Elim Hoogkerk","322","9745 BT","1311","373",0.284515636918383
"Tent Maresiusstraat","331","9746 BJ","1311","981",0.748283752860412
"Kinderdagverblijf De Kleine Held","332","9745 CP","1311","800",0.61022120518688
"Gymzaal Agaatstraat","341","9743 HW","1311","506",0.385964912280702
"Gymzaal Agaatstraat","342","9743 HW","1311","496",0.378337147215866
"Buurtcentrum De Wende","343","9743 CP","1311","545",0.415713196033562
"MFC 't Vinkhuys","351","9743 BJ","1311","729",0.556064073226545
"Stuif Es In Platinaflat","352","9743 GN","1311","516",0.393592677345538
"BSV Vinkhuizen","353","9743 RK","1311","392",0.299008390541571
"Gymzaal Slenk","361","9746 RS","1311","740",0.564454614797864
"Gymzaal Slenk","362","9746 RS","1311","755",0.575896262395118
"ACLO Sportcentrum","371","9747 AC","1311","360",0.274599542334096
"Buurtcentrum Plutozaal","381","9742 GK","1311","506",0.385964912280702
"Buurtcentrum Plutozaal","382","9742 GK","1311","512",0.390541571319603
"Bisschop Bekkersschool","383","9742 KT","1311","452",0.344774980930587
"BSV Paddepoel","386","9742 VP","1311","447",0.340961098398169
"BSV Paddepoel","387","9742 VP","1311","435",0.331807780320366
"Wijkcentrum De Berk","391","9741 JV","1311","530",0.404271548436308
"Sporthal Selwerd","392","9741 EW","1311","483",0.368421052631579
"Sporthal Selwerd","393","9741 EW","1311","385",0.293668954996186
"Buurtcentrum TuinPad","394","9741 AJ","1311","682",0.520213577421815
"De Fontein","395","9741 EZ","1311","583",0.444698703279939
"Nieuw-Apostolische Kerk","396","9741 GC","1311","540",0.411899313501144
"GTV Van Starkenborgh","401","9731 BW","1311","738",0.562929061784897
"Buurtcentrum Hunzeborgh","402","9731 EB","1311","998",0.761250953470633
"Sporthal Beijum","411","9736 BV","1311","725",0.55301296720061
"Heerdenhoes","412","9736 EN","1311","418",0.318840579710145
"Trefpunt Beijum","413","9737 AB","1311","595",0.453852021357742
"Trefpunt Beijum","414","9737 AB","1311","351",0.267734553775744
"PKN de Bron","415","9736 EA","1311","575",0.43859649122807
"Gymzaal Stoepemaheerd","416","9737 TJ","1311","1119",0.853546910755149
"Gymzalen Melisseweg","431","9731 BX","1311","687",0.524027459954233
"Wijkcentrum De Schakel","432","9731 AA","1311","636",0.48512585812357
"Wijkcentrum De Schakel","433","9731 AA","1311","654",0.498855835240275
"Emmauskerk","441","9733 HS","1311","488",0.372234935163997
"Wijkcentrum Het Dok","442","9733 CA","1311","810",0.617848970251716
"Sporthal Lewenborg","443","9733 CX","1311","533",0.406559877955759
