"Street/Name","stationcode","Zipcode","Invited","Turnout","merger"
"'d Aol Schoelstee","22","7853TA","348",186,"109 22"
"'Het Trefpunt', Centrum NH Kerk ()","33","3481XA","0",3449,"632 33"
"'Hollandse Boerderij'","9","2411PK","354",218,"1901 9"
"'s-Gravenzande Bibliotheek","21","2692AG","1422",1315,"1783 21"
"'s-Gravenzande ISW Gasthuislaan","22","2694BE","1422",530,"1783 22"
"'s-Gravenzande Noorderkerk","23","2691BK","1422",314,"1783 23"
"'s-Gravenzande Prins Willem-Alexanderschool","24","2694BW","1422",749,"1783 24"
"'s-Gravenzande Sportlokaal Oudeland","25","2691CC","1422",293,"1783 25"
"'s-Gravenzande voormalig Gemeentekantoor","26","2691BE","1422",670,"1783 26"
"'s-Gravenzande Westlandhal","27","2691TM","1422",518,"1783 27"
"'s-Gravenzande Wijkcentrum Larix","28","2691DE","1422",655,"1783 28"
"'s-Gravenzande Zalencentrum De Kiem MA","107","2691GC","0",10286,"1783 107"
"'s-Gravenzande Zwembad Maesemunde","31","2691GH","1421",393,"1783 31"
"'t Aad Raodhoes","7","6074GA","1563",388,"1669 7"
"'t Anker","1966","9974PG","1151",489,"1966 36"
"'t Aole Gemientehoes (ma)","114","7761CL","0",4477,"114 173"
"'t Bartoleshûs","22","9845AK","419",186,"1969 22"
"'t Beest","13","4461CS","1356",689,"664 13"
"'t Binnenveld","1514","6666CR","0",1201,"1734 1514"
"'t Brederode Huys ","214","2082GE","0",3825,"453 214"
"'t Brikkenhoes","20","6042GZ","1273",536,"957 20"
"'t Brinkenhoes","114","7812MH","2560",1429,"114 27"
"'t Brouwershuis","9","5595XC","1237",300,"1658 9"
"'t Brugeind (Meerlo)","19","5864BZ","1532",813,"1507 19"
"'t Buitenhoff Zalen & Partycentrum","4","4281NX","988",447,"1959 4"
"'t Buurthuus","23","3256AH","1108",616,"1924 23"
"'t Buurthuus, Noordwolde (15 )","28","8391AW","0",527,"98 28"
"'t Buurtnest","451","1422LB","1960",480,"451 14"
"'t Centrum","9","6621AN","1628",450,"668 9"
"'t Centrum","21","3257XM","2164",1167,"1924 21"
"'t Convenant","15","8602XW","1075",383,"1900 15"
"'t Cromwiel ()","202","4651RN","0",2554,"851 202"
"'t Dijksteeke","302","4706LB","0",7256,"1674 302"
"'t Dörpshuus NijRoon","8","9311PB","2043",1614,"1699 8"
"'t Durps'uus Bruinisse","6","4311ED","1461",605,"1676 6"
"'t Gasthoes (Horst)","3","5961GA","2257",1379,"1507 3"
"'t Gildehuis ""st Oswaldus"" Stokkum","13","7039AJ","1002",551,"1955 13"
"'t Goylaan 77","582","3525AA","1594",1782,"344 582"
"'t Haarhuus ( bijzonder beperkt)","4","7676GA","0",16,"1700 4"
"'t Haegse Huus","6","3251CR","1338",834,"1924 6"
"'t Hart II","21","7211DM","1127",1082,"262 21"
"'t Hart van Loil (voormalige kerk)","6","6941DM","1474",919,"1955 6"
"'t Hessenhuus","26","6996DD","510",298,"1876 26"
"'t Hoefke","9","4614VB","2099",1241,"748 9"
"'t Hof van Dwingeloo","15","7991AA","881",489,"1701 15"
"'t Hof van Scharmer","25","9616TE","754",352,"1952 25"
"'t Hoge Hof","27","9831RZ","849",473,"1969 27"
"'t Hoge Licht","111","3972PX","0",1051,"1581 111"
"'t Hökske","11","6591GD","1434",544,"907 11"
"'t Huys te Hoecke","3","3297SE","1433",605,"1963 3"
"'t Katshuis, Kattendijke","18","4474AT","450",260,"664 18"
"'t Keerhoes (nummer 2)","24","6267CG","1332",4189,"1903 24"
"'t Kerkhuys","2","1715GH","1529",686,"432 2"
"'t Klokhoes","1966","9997NE","566",300,"1966 10"
"'t Koelhuis","11","6851NB","1436",382,"1705 11"
"'t Koetshuis","10","3862AD","886",845,"267 10"
"'t Kofschip","50","3893BE","0",653,"50 6"
"'t Kooykershuus","2","7671AK","870",546,"1700 2"
"'t Kruispunt  ","300","1921XC","0",3793,"383 300"
"'t Kruispunt 15 ","25","5308KS","0",1290,"297 25"
"'t Lossers hoes","701","7581AG","1721",1295,"168 701"
"'t Loughoes","23","9761GE","1496",1040,"1730 23"
"'t Manneke II","40","2651CL","0",7097,"1621 40"
"'t Maoske","12","5176NJ","510",363,"809 12"
"'t Meuken,Isidorushoeve","17","7482ST","0",1537,"158 17"
"'t Molentje Silvolde","19","7064GJ","1621",806,"1509 19"
"'t Nije Terphoes","202","7543WB","1586",389,"153 202"
"'t Olde Staduus Genemuiden","5","8281EV","1119",885,"1896 5"
"'t Oude Parochiehuis","103","3641AJ","2269",821,"736 103"
"'t Oude Raethuys  15  2022","203","1861KS","0",3279,"373 203"
"'t Palet Holy","21","3136JB","2246",905,"622 21"
"'t Paradies","2","6041GA","1471",485,"957 2"
"'t Patronaat","928","6462TZ","1095",1315,"928 56"
"'t Patronaat Zeelst","27","5502JV","2033",1048,"861 27"
"'t Paviljoen","14","5357PH","1220",331,"828 14"
"'t Pelgrimshuis Smakt","17","5817AD","168",113,"984 17"
"'t Podium","3","3927DA","1494",641,"339 3"
"'t Poelhuys 2","553","2162AA","1389",1782,"553 9"
"'t Polderhuus, Munnekeburen","7","8485JE","0",614,"98 7"
"'t Proathuus","313","7521DX","1985",544,"153 313"
"'t Prônk-Eppelke Belfeld","201","5951CW","1743",371,"983 201"
"'t Raodhoes","508","5921GV","0",3469,"983 508"
"'t RAShuys","12","9305TG","732",336,"1699 12"
"'t Ronde Sant","24","2984GK","1805",903,"597 24"
"'t Schienvat","1966","9995PH","755",447,"1966 11"
"'t Schienvat (ma)","114","7887EB","0",2999,"114 159"
"'t Sintrum","16","9151KN","1230",569,"1970 16"
"'t Sjaater Hoes","928","6467EA","1302",721,"928 73"
"'t Spectrum","15107","5482WN","0",3946,"1948 15107"
"'t Speelkwartier","553","2162JB","1836",817,"553 10"
"'t Sprengenhus Laag-Soeren op 16  2022","29","6957AB","838",487,"275 29"
"'t Sterrebos","708","7588RG","824",515,"168 708"
"'t Stift (2)","1711","6114HE","0",1820,"1711 213"
"'t Swannenêst (De Doarpskeamer)","55","8722HR","281",165,"1900 55"
"'t Trefpunt","4","2991GB","1299",452,"489 4"
