"Street/Name","Zipcode","Invited","Turnout","X","Y"
"  Dorpscentrum De Aw Sjaol","6223HE","0",387,176934.917414635,323174.977934327
"  parkeerterrein Kamvaren","4854GD","1762",670,0,0
" 's Heeren Loo ""Het Hart""","6733SC","0",19,0,0
" 's-Gravenpolder, De Zwake","4431EP","1787",932,52096.1904823314,386635.582218101
" 's-Gravenpolder, Dorpshuis ()","4431BP","0",1522,51524.7414210788,386679.43725504
" 's-Heer Abtskerke","4444AG","422",257,50118.237264479,387960.777715755
" 's-Heerenhoek","4453BE","1606",791,42600.8282071078,386317.471515016
" 't Bellefort","5616NS","1",849,160174.975606567,383530.316618029
" 't Bourgondisch Hof Maandag","5144AL","0",1180,133106.527168975,410595.425518529
" 't Buurthuis","5223XM","1368",432,147507.600114363,411220.800414367
" 't Buurtpalet (kindervreugd)","7312PT","2192",281,192591.616124442,467952.038260114
" 't Dorpshuus","7351AG","1203",657,188881.79679849,458953.661228226
" 't Dorpshuys van Cothen","3945CB","2613",1543,149551.987390306,445396.883382208
" 't Duifhuis","4158CK","893",718,145048.645257245,433008.398312
" 't Haarschut Kloosterhaar 16 ","7694AA","1154",570,242141.562534253,501619.609097377
" 't Honk Glana","6164GH","1500",105,186298.380627204,329318.928156595
" 't Kerkheem","6721EZ","0",3570,174899.999910796,445563.999973595
" 't Landhuis","1055VC","1165",886,119050,488066
" 't Markehuus II","9407EA","1600",2553,233876.999921394,559540.000917209
" 't Trefpunt","1536AL","438",252,0,0
" 't Uilenest","7771AC","1052",542,237931.621907475,510506.872762892
" 't Veerhuis","3434AZ","1205",1117,134270.592999663,446263.143634091
" 't Wavertje","1843JR","666",356,118526.889424497,510671.52918151
" ""Eigen Gebouw""","6712EG","0",505,174071.508259407,451101.171325569
" ""Westhoff""","8198KP","59",58,205378.000166721,492633.000464495
" (IKC) De Kleine Reus","1017TV","998",757,0,0
" 14  De Rank","3768ED","0",431,0,0
" 14  Emmakerk","3762DS","0",399,147775.545256439,466756.764577773
" 14  Gemeentehuis","3762AV","0",665,148626.803943658,465447.360557296
" 14  Johanneskerk","3766CP","0",323,147828.986366598,464491.555387133
" 14  Vredekerk","3769EC","0",316,148131.720337612,458628.531620163
" 15  De Rank","3768ED","0",596,0,0
